epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,44.65,1.484566617012024,59.375,1.020161781311035,1.0664269351959228,0.0005874563711541075
2,63.1625,0.9599222316741943,66.0,0.8343766951560974,0.8949509954452515,0.0006523371273673209
3,67.55,0.8610179753303527,69.6875,0.7814359641075135,0.849738073348999,0.0007596811800539508
4,69.7625,0.8229424667358398,71.125,0.7355075764656067,0.8077032709121704,0.0009083118183876868
5,71.5875,0.8052706871032714,70.75,0.7375996279716491,0.8128558731079102,0.001096599745943891
6,71.5875,0.8025824561119079,72.8125,0.7213585495948791,0.7961403489112854,0.0013224809411277617
7,71.4625,0.7987719297409057,72.125,0.7152117419242859,0.7921358394622803,0.001583479283081367
8,71.6875,0.8070865168571472,71.8125,0.752828905582428,0.8286173987388611,0.0018767336950432202
9,72.325,0.7991499714851379,73.4375,0.70524649143219,0.7815290927886963,0.002199029507613556
10,72.5,0.7946069293022155,71.4375,0.765770571231842,0.8423893213272095,0.002546833698119637
11,71.9,0.8028825778961182,72.6875,0.7433856797218322,0.8197481107711792,0.0029163336197854097
12,71.6875,0.8033709959983826,73.25,0.7226370644569396,0.8010350775718689,0.00330347879615445
13,71.7625,0.8029798569679261,74.1875,0.7144769597053527,0.7904324817657471,0.0037040253226136473
14,71.65,0.8064390735626221,73.9375,0.7219556546211243,0.7983445334434509,0.004113582388285935
15,71.9875,0.8073877873420715,73.5625,0.7042972826957703,0.7822869944572449,0.004527660408316761
16,71.9,0.8050099043846131,73.75,0.7198791408538818,0.7944013953208924,0.004941720238925808
17,72.1375,0.8051962437629699,72.8125,0.7404544806480408,0.819820830821991,0.005351222935726098
18,71.275,0.8139849281311036,73.375,0.7225078105926513,0.7989374542236328,0.005751679509857352
19,71.525,0.8081878266334533,72.9375,0.7405584144592285,0.81745454788208,0.006138700136504379
20,71.6,0.8108823084831238,70.75,0.7531678199768066,0.8305051517486572,0.006508042276374297
21,71.5625,0.8141861186027527,74.0,0.713490879535675,0.7907699489593506,0.006855657182622546
22,72.2375,0.8062243127822876,72.625,0.715798110961914,0.7930518889427185,0.0071777342834164915
23,71.725,0.8021914467811585,72.1875,0.7351068067550659,0.8107715821266175,0.007470742953612728
24,71.65,0.8031355805397034,72.0,0.7305757522583007,0.8075481057167053,0.007731471217644907
