epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,46.95,1.4272577362060548,59.9375,0.9925154852867126,1.0401495504379272,0.0005874563711541075
2,64.325,0.9462189331054688,68.1875,0.8322978210449219,0.8913820505142211,0.0006523371273673209
3,68.2875,0.862394142150879,71.5625,0.7708346581459046,0.836359190940857,0.0007596811800539508
4,70.6375,0.8243446106910706,70.6875,0.7622331357002259,0.8324655604362488,0.0009083118183876868
5,70.7375,0.8132798976898193,73.8125,0.738952579498291,0.812725863456726,0.001096599745943891
6,71.1125,0.8120251874923706,74.3125,0.7076321363449096,0.7835149836540222,0.0013224809411277617
7,71.8125,0.8046696009635925,73.9375,0.7137811398506164,0.7896335768699646,0.001583479283081367
8,72.0875,0.7965097217559814,73.125,0.7281650519371032,0.8058416652679443,0.0018767336950432202
9,71.5375,0.8021130695343017,73.125,0.7204348921775818,0.7977186036109924,0.002199029507613556
10,71.25,0.8129218754768371,71.25,0.7693161225318909,0.8429098773002625,0.002546833698119637
11,71.9125,0.8035500144958496,72.3125,0.7338969779014587,0.8094376254081727,0.0029163336197854097
12,71.2375,0.8048955693244934,72.9375,0.7317896795272827,0.808399772644043,0.00330347879615445
13,71.225,0.8108771347999573,73.0,0.7407213282585144,0.8184269642829896,0.0037040253226136473
14,72.25,0.8013702292442322,73.375,0.7164579272270203,0.7942908430099487,0.004113582388285935
15,71.275,0.8035695772171021,73.875,0.7452018713951111,0.821005928516388,0.004527660408316761
16,70.85,0.818023286819458,72.25,0.7467317128181458,0.8220477533340455,0.004941720238925808
17,71.2875,0.8197440285682678,70.3125,0.7574944043159485,0.8330210781097412,0.005351222935726098
18,71.3625,0.8178167557716369,71.1875,0.7480010795593262,0.8270260190963745,0.005751679509857352
19,71.4625,0.8195277328491211,70.6875,0.7572387838363648,0.8325410723686218,0.006138700136504379
20,71.6125,0.8136277995109558,72.875,0.7461368751525879,0.8233767867088317,0.006508042276374297
21,71.275,0.8123201203346252,70.875,0.7586801385879517,0.8372144269943237,0.006855657182622546
22,71.975,0.813134663105011,72.75,0.7648623919487,0.8438524770736694,0.0071777342834164915
23,71.375,0.8147902879714966,72.875,0.7260321855545044,0.8031989669799805,0.007470742953612728
24,70.7875,0.8182379293441773,73.625,0.7287813377380371,0.8026169276237488,0.007731471217644907
25,71.8375,0.8075104665756225,71.625,0.7377521324157715,0.8160771656036377,0.007957060959359103
26,70.65,0.8247113676071167,71.8125,0.7518665409088134,0.8310506105422973,0.008145039252824764
27,71.35,0.8209482793807983,71.1875,0.7439852166175842,0.818693401813507,0.00829334547067134
28,71.2625,0.8194199938774109,72.0625,0.7510762476921081,0.8272785115242004,0.008400353872787649
29,71.45,0.8147325530052185,73.4375,0.7275125455856323,0.8017883706092834,0.008464891427765575
30,71.2625,0.823320333480835,71.9375,0.7236749911308289,0.8044065666198731,0.008486251788727682
31,71.8875,0.8236720604896546,72.5,0.7285204696655273,0.8073838424682617,0.008481911183573013
32,71.2375,0.8117843160629272,74.625,0.7332022833824158,0.8161400389671326,0.008469034798902677
33,71.3875,0.8206146936416626,70.5625,0.7909064769744873,0.8707088780403137,0.008447648566041776
34,71.0625,0.8217549686431884,71.0,0.7485590600967407,0.8231384134292603,0.008417795554017159
35,71.025,0.821260338306427,74.0625,0.6992986750602722,0.7791309332847596,0.008379535882822125
36,71.075,0.8222768125534058,72.5,0.7278563618659973,0.8024207830429078,0.008332946602342762
37,70.925,0.8238654894828796,73.5625,0.7137244415283203,0.7915820121765137,0.00827812153718973
38,71.2875,0.8163150320053101,73.4375,0.715695321559906,0.7919662928581238,0.008215171097747987
39,71.625,0.8188398494720459,71.625,0.750093183517456,0.8279259538650513,0.008144222057824956
40,71.3125,0.8174275226593017,70.875,0.7603723454475403,0.8389402270317078,0.00806541729934496
41,71.7125,0.8019758214950562,71.9375,0.745545346736908,0.8242462396621704,0.00797891552460403
42,71.125,0.8201809725761413,70.25,0.7630212926864623,0.8431339573860168,0.007884890936664612
43,71.2875,0.8174209461212159,73.5625,0.7183027744293213,0.7952302861213684,0.007783532888533779
44,71.5375,0.8109543724060059,71.5625,0.7577112364768982,0.8315141868591308,0.007675045501831467
45,71.9625,0.8055816655158996,74.0625,0.7149015355110169,0.7927029657363892,0.007559647255716709
46,71.25,0.8133074960708618,72.1875,0.7406065750122071,0.8147500038146973,0.0074375705468996784
47,71.9625,0.8070248608589172,74.9375,0.6993907690048218,0.7756088852882386,0.007309061221625644
48,71.675,0.8107703881263733,73.5,0.7447326707839966,0.822330584526062,0.007174378080573349
49,71.9875,0.8078894624710083,75.25,0.7048060417175293,0.7813061451911927,0.007033792357664885
50,72.2375,0.810100179195404,73.25,0.7342537760734558,0.8074317836761474,0.006887587173836672
51,72.275,0.8016497969627381,73.3125,0.7281960415840149,0.8061792731285096,0.0067360569668715705
52,71.9125,0.8015441293716431,74.0,0.6975729751586914,0.7766006803512573,0.00657950689844037
53,73.0125,0.7959934697151184,75.4375,0.6987544012069702,0.7791276121139527,0.006418252239546795
54,72.4875,0.7913381967544556,74.75,0.6962804102897644,0.775002875328064,0.006252617735613664
55,72.225,0.7941604809761047,75.4375,0.7122491216659546,0.7902353525161743,0.006082936952488824
56,72.9375,0.7907279534339905,74.6875,0.7235350275039673,0.8017313170433045,0.005909551604687921
57,72.2125,0.7992964839935303,75.125,0.6934776926040649,0.7741789150238038,0.005732810867226852
58,72.575,0.7899741191864014,74.6875,0.7083794355392456,0.7862707543373108,0.005553070672429738
59,72.5375,0.7915811252593994,75.8125,0.6805242192745209,0.7629587936401367,0.0053706929931286035
60,72.2875,0.7939185061454773,73.4375,0.7134557151794434,0.7896707010269165,0.005186045113698261
61,71.9375,0.8019871788024903,73.8125,0.7171876668930054,0.7939256238937378,0.004999498890394457
62,72.9125,0.7895433201789855,73.6875,0.7138948035240174,0.7890960574150085,0.004811430002484863
63,72.4375,0.7891198573112488,73.8125,0.7005990195274353,0.782844009399414,0.004622217195681029
64,72.1625,0.7990975279808045,73.75,0.7047945117950439,0.786063346862793,0.004432241519394918
65,72.8375,0.7851747770309448,74.25,0.6860623335838318,0.7672013258934021,0.004241885559356108
66,72.625,0.7876892294883728,75.0,0.6941621160507202,0.7756826663017273,0.004051532667135047
67,72.85,0.7844878435134888,74.0,0.6844271564483643,0.7628769040107727,0.0038615661881240032
68,73.2875,0.7800793228149414,73.1875,0.7232205390930175,0.8050068831443786,0.0036723686895304667
69,73.375,0.7741191415786743,75.25,0.6765124845504761,0.7576625776290894,0.0034843211899377034
70,73.0875,0.7784261319637299,74.25,0.7022194790840149,0.7857459092140198,0.0032978023919840406
71,73.1875,0.7762202777862549,71.8125,0.7295216369628906,0.811908712387085,0.003113187919706141
72,73.55,0.7682833671569824,74.1875,0.6989946794509888,0.7805656266212463,0.0029308495620821965
73,73.4125,0.7722435312271119,74.6875,0.6821620321273804,0.7621482419967651,0.002751154524298392
74,72.625,0.7779626712799073,74.5,0.6856792140007019,0.7649570608139038,0.0025744646882465342
75,73.425,0.7675480723381043,76.125,0.6654624652862549,0.7469973063468933,0.002401135883742087
76,74.2625,0.7598564555644989,75.5,0.687727997303009,0.7685622572898865,0.0022315171719302653
77,73.9125,0.7618004951477051,75.4375,0.67267631649971,0.7550710391998291,0.0020659501423233593
78,74.3125,0.7554593434333802,75.25,0.6601976585388184,0.7454123544692993,0.0019047682248848953
