epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,45.6875,1.4256154866218567,63.9375,0.9843050622940064,1.0319654965400695,0.0005874563711541075
2,65.9375,0.9368969564437866,70.25,0.8334709048271179,0.8922851753234863,0.0006523371273673209
3,69.15,0.8597925701141358,70.9375,0.7705902123451233,0.837912278175354,0.0007596811800539508
4,70.4625,0.8288171172142029,72.1875,0.7413897395133973,0.8136317443847656,0.0009083118183876868
5,70.9375,0.8115258846282959,69.25,0.7805872535705567,0.8542781567573547,0.001096599745943891
6,70.7625,0.8170780773162842,70.5,0.7539444422721863,0.8300392508506775,0.0013224809411277617
7,71.175,0.8052410416603089,72.3125,0.7354100298881531,0.8111949849128723,0.001583479283081367
8,71.175,0.7987504754066467,71.3125,0.721523277759552,0.799029266834259,0.0018767336950432202
9,71.1375,0.8120316400527954,71.5,0.7323008847236633,0.8082913637161255,0.002199029507613556
10,71.7625,0.801965265750885,70.4375,0.7370259022712707,0.8150833249092102,0.002546833698119637
11,70.875,0.8085807762145996,72.125,0.7116903948783875,0.7899913835525513,0.0029163336197854097
12,71.95,0.7957511081695556,70.375,0.7467429375648499,0.8250054812431336,0.00330347879615445
13,71.7625,0.8010723013877868,71.8125,0.7437016940116883,0.8207176184654236,0.0037040253226136473
14,70.9375,0.811492104768753,72.5,0.7182320642471314,0.79454674243927,0.004113582388285935
15,72.1,0.8034939613342286,71.875,0.7329149150848389,0.8126445770263672,0.004527660408316761
16,71.4125,0.8095664253234863,73.8125,0.7480504155158997,0.8241027784347534,0.004941720238925808
17,72.0125,0.7997088494300842,72.6875,0.7209238290786744,0.7973501992225647,0.005351222935726098
18,71.675,0.8111426091194153,71.8125,0.7487481665611267,0.8226866459846497,0.005751679509857352
19,71.4875,0.8102669982910157,73.375,0.7036898303031921,0.781721339225769,0.006138700136504379
20,71.95,0.8061180744171142,72.625,0.7380320000648498,0.8156141018867493,0.006508042276374297
21,72.075,0.8119582715034485,69.0,0.7601878905296325,0.8373441267013549,0.006855657182622546
22,71.3875,0.8057871327400208,74.125,0.6916203463077545,0.7696052742004394,0.0071777342834164915
23,71.2125,0.81470946931839,74.1875,0.7249165916442871,0.8027303314208984,0.007470742953612728
24,71.3625,0.8050477151870727,71.375,0.7303928661346436,0.804941201210022,0.007731471217644907
25,71.1875,0.8225128064155579,71.0625,0.7551451110839844,0.8311705183982849,0.007957060959359103
26,71.675,0.8055055379867554,74.1875,0.7129095005989075,0.7890791249275207,0.008145039252824764
27,71.5375,0.8055299954414368,73.1875,0.7188792777061462,0.7964210867881775,0.00829334547067134
28,71.9,0.8071590218544006,73.625,0.7061282515525817,0.7827081108093261,0.008400353872787649
29,71.7625,0.8035450229644775,71.9375,0.7108431816101074,0.7896861743927002,0.008464891427765575
30,72.2875,0.8028093090057373,74.125,0.6917338681221008,0.770550811290741,0.008486251788727682
31,72.2125,0.797907931804657,73.6875,0.7387267303466797,0.8164147472381592,0.008481911183573013
32,71.9125,0.8085289731025695,74.4375,0.6926191735267639,0.7716224431991577,0.008469034798902677
33,71.3,0.8156089687347412,74.0625,0.7201878690719604,0.7988228964805603,0.008447648566041776
