epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,38.2375,1.7170678119659424,63.5625,1.124279832839966,1.291844940185547,0.0008559807963694679
2,70.5875,1.1618043050765992,73.6875,0.8125843691825867,1.0651176047325135,0.000950518338388686
3,74.1375,1.0739232082366943,77.4375,0.7484370517730713,1.011072177886963,0.0011069290136592816
4,75.9875,1.0326421704292297,76.5625,0.7189576172828674,1.0008483600616456,0.0013234982406060743
5,75.3625,1.0375120344161988,77.25,0.7184888172149658,0.9956291031837463,0.0015978519766285167
6,76.2375,1.0288394088745116,76.875,0.729531683921814,1.0126777791976929,0.0019269827424733474
7,75.7875,1.0297868099212646,75.875,0.7298886871337891,1.0150334644317627,0.002307282590371244
8,76.2375,1.0301322693824768,79.375,0.6994508910179138,0.9746237182617188,0.002734582654539101
9,76.6,1.0288791217803954,77.75,0.7426951456069947,1.0153534173965455,0.003204198850493386
10,75.9,1.0361379785537719,78.4375,0.7015741395950318,0.9864069771766663,0.0037109832222164286
11,76.5875,1.029194938182831,78.0,0.694784140586853,0.989818000793457,0.00424938037430545
12,76.0,1.039081748008728,76.5625,0.7275746154785157,1.0107979893684387,0.004813488370492346
13,75.5625,1.045798466205597,77.375,0.725106155872345,1.002675838470459,0.005397123430961584
14,75.8875,1.0398126783370971,77.375,0.7075158143043518,0.993912672996521,0.005993887719251072
15,75.2,1.0586962280273438,75.5,0.7676516199111938,1.031326003074646,0.0065972394756525655
16,75.0125,1.0553862791061401,75.8125,0.7874509334564209,1.0424205827713013,0.007200564728305859
17,75.3,1.054975263118744,73.1875,0.8111484980583191,1.0871223545074462,0.007797249795886141
18,75.0125,1.0615233316421508,70.4375,0.8534113693237305,1.1198655843734742,0.008380753787106513
19,75.0125,1.0644654178619384,77.125,0.735918288230896,1.0163196802139283,0.008944680302292486
20,73.9125,1.0702408380508424,74.875,0.7898819994926453,1.0506720209121705,0.009482847551032254
21,74.8625,1.0630061149597168,75.5625,0.7564234399795532,1.0266988563537598,0.00998935611726962
22,74.8875,1.0605258493423462,75.625,0.7393148517608643,1.0249738454818726,0.010458653628995217
23,74.7875,1.0672069983482362,72.25,0.7977206563949585,1.0607470083236694,0.010885595623623678
24,73.8,1.0683137154579163,74.8125,0.7580074858665466,1.0363645935058594,0.011265501941847516
25,74.0875,1.0728165550231934,77.1875,0.7700302362442016,1.0244693040847779,0.011594208031775416
26,74.45,1.0712179470062255,75.9375,0.7669464898109436,1.03409779548645,0.011868110600956504
27,74.25,1.0746294364929199,76.625,0.7079138851165772,0.9955113792419433,0.012084207115850804
28,73.925,1.0773341631889344,77.0,0.7236061668395997,1.0025049662590027,0.012240128715750713
29,74.325,1.0671490492820739,77.0625,0.7494648909568786,1.0222303438186646,0.012334166180349512
30,73.6375,1.0763407273292542,72.25,0.823847451210022,1.0777644157409667,0.01236529029387502
31,73.9625,1.0698156313896179,78.25,0.7074245762825012,0.9851374197006225,0.012358965612010187
32,74.525,1.0606913146972656,75.375,0.7534513759613037,1.0380483055114746,0.012340203473159228
33,74.25,1.0654681644439696,75.3125,0.7855944323539734,1.0584300804138183,0.012309041661772876
34,74.7875,1.0625811190605163,77.4375,0.7203560614585877,1.006234836578369,0.012265542933592164
35,74.7,1.0672884893417358,77.0,0.748391547203064,1.019504930973053,0.012209794889266726
36,74.9125,1.0732996430397033,71.25,0.8283099198341369,1.1066379928588868,0.012141909797938737
