epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,41.3375,1.695136203765869,61.875,1.133253059387207,1.307337236404419,0.0008559807963694679
2,68.725,1.1985211434364318,74.25,0.855623095035553,1.086867594718933,0.000950518338388686
3,72.25,1.1198028416633605,73.1875,0.821443612575531,1.074133162498474,0.0011069290136592816
4,73.5375,1.08893372297287,75.5625,0.7596511030197144,1.0261276936531067,0.0013234982406060743
5,73.4875,1.091758798122406,76.25,0.762318639755249,1.0319953846931458,0.0015978519766285167
6,73.1125,1.0970961809158326,77.25,0.7442988586425782,1.0073999500274657,0.0019269827424733474
7,73.9375,1.080510618209839,75.3125,0.7654444146156311,1.0311058926582337,0.002307282590371244
8,74.275,1.075566903114319,76.625,0.7618050527572632,1.0263574409484864,0.002734582654539101
9,74.55,1.0681412482261659,78.0,0.7304621171951294,1.0019457840919495,0.003204198850493386
10,74.625,1.063442795753479,77.0625,0.7417747282981872,1.0157380104064941,0.0037109832222164286
11,74.575,1.069920295238495,77.125,0.7379758977890014,1.0110798501968383,0.00424938037430545
12,74.725,1.0647868094444275,75.0625,0.7410917139053345,1.0169242572784425,0.004813488370492346
13,75.075,1.05668643283844,76.5625,0.7620254039764405,1.0223530912399292,0.005397123430961584
14,74.325,1.081636046886444,74.9375,0.79870600938797,1.0640573167800904,0.005993887719251072
15,75.175,1.0707975630760194,76.9375,0.758551607131958,1.0255238580703736,0.0065972394756525655
16,74.3,1.074692216873169,75.625,0.766221079826355,1.045478801727295,0.007200564728305859
17,74.1625,1.082841790676117,75.5625,0.7930803656578064,1.0535309267044068,0.007797249795886141
18,73.05,1.0906890449523925,76.4375,0.7828337407112121,1.0461886215209961,0.008380753787106513
19,74.0125,1.083505347251892,72.4375,0.8278474617004394,1.09672101020813,0.008944680302292486
20,74.4875,1.0765618815422058,77.3125,0.7480420064926148,1.0191307735443116,0.009482847551032254
21,73.5125,1.0863598937988281,77.375,0.7729551935195923,1.0300896787643432,0.00998935611726962
22,73.8375,1.0877273435592651,75.625,0.7518414735794068,1.0374482774734497,0.010458653628995217
23,73.95,1.0846557211875916,77.125,0.7417738962173462,1.0161326122283936,0.010885595623623678
24,74.3375,1.0696242175102233,75.6875,0.7528178858757019,1.0357867002487182,0.011265501941847516
25,74.075,1.0855352234840394,74.8125,0.7758268475532532,1.0419202518463135,0.011594208031775416
26,73.8125,1.0767973079681397,75.1875,0.7539952731132508,1.0343062901496887,0.011868110600956504
27,73.8625,1.0813426742553711,75.25,0.7775332474708557,1.0400044703483582,0.012084207115850804
28,74.275,1.069742091178894,75.5,0.7430153942108154,1.018369197845459,0.012240128715750713
29,73.45,1.0811846404075622,77.6875,0.7248853993415832,1.004346570968628,0.012334166180349512
30,74.7125,1.0675945739746093,77.0625,0.7611718058586121,1.0282489347457886,0.01236529029387502
31,74.125,1.0724370989799499,77.0625,0.7457619190216065,1.0217897200584412,0.012358965612010187
32,73.8,1.083617139339447,74.1875,0.7703736734390259,1.0429791593551636,0.012340203473159228
33,74.2375,1.0722278065681456,76.3125,0.754012930393219,1.0235491514205932,0.012309041661772876
34,74.525,1.070836597442627,76.5,0.7599202728271485,1.018439531326294,0.012265542933592164
35,74.0125,1.0737264261245727,74.875,0.7568140029907227,1.0352180480957032,0.012209794889266726
36,74.1125,1.0781824927330017,74.9375,0.7811563920974731,1.0538072776794434,0.012141909797938737
37,74.9,1.0659181661605834,72.875,0.8269183325767517,1.0943935012817383,0.012062024371147803
38,73.95,1.0707592091560363,74.5,0.802115159034729,1.0755819702148437,0.011970299487512121
39,74.3625,1.0708373723030091,74.625,0.7909950757026672,1.0570399904251098,0.01186691986874034
40,73.5875,1.0794845180511474,76.125,0.7811795234680176,1.045784854888916,0.01175209370762664
41,73.925,1.0753816771507263,77.6875,0.7176796102523804,0.9962743902206421,0.011626052248778135
42,73.5125,1.0784858827590942,75.5625,0.7798604226112366,1.0480236506462097,0.011489049322919014
43,73.9625,1.072490872859955,75.125,0.7696016836166382,1.037966661453247,0.011341360835709254
44,75.3625,1.063094964504242,74.25,0.7817829179763794,1.0513216209411622,0.011183284212107318
45,74.675,1.071340880393982,76.5625,0.7660533332824707,1.0356809997558594,0.011015137797395887
46,74.6375,1.067305163860321,74.375,0.8270621585845948,1.0780019235610963,0.010837260216076826
47,74.025,1.0713872966766358,75.9375,0.7675058484077454,1.0307780694961548,0.010650009689926496
48,74.375,1.065964017868042,73.0,0.8379444026947022,1.108890154361725,0.010453763316584768
49,74.125,1.0687076692581177,76.625,0.7655128145217895,1.0350895309448243,0.010248916310130573
50,74.3625,1.0779641938209534,75.5,0.747564148902893,1.027816436290741,0.010035881205173328
51,74.8125,1.0656684799194336,76.75,0.7712064838409424,1.0344218444824218,0.009815087026063145
52,74.9625,1.0641164989471437,77.375,0.7254052543640137,1.0049967527389527,0.009586978422892883
53,75.325,1.0571669597625732,75.4375,0.7432504224777222,1.02152019739151,0.009352014776032038
54,74.6625,1.0640281238555909,76.5,0.7410204076766967,1.0170979928970336,0.0091106692709958
55,74.7625,1.0648274989128113,74.4375,0.7941476845741272,1.044702696800232,0.008863427945512424
56,74.775,1.060348340511322,75.75,0.781730842590332,1.045765562057495,0.008610788710707905
57,74.85,1.059041175365448,75.75,0.7599312376976013,1.0405207657814026,0.008353260348379249
58,75.15,1.0583086886405946,74.0625,0.7813997888565063,1.0565521240234375,0.008091361486375629
59,74.65,1.066127489566803,77.75,0.7458906936645507,1.0188878679275513,0.007825619554150934
60,75.55,1.050648124217987,75.25,0.7494677925109863,1.027079668045044,0.007556569720591031
61,75.675,1.0413582282066345,76.875,0.7447661137580872,1.0111006903648376,0.007284753816254848
62,76.125,1.0370633001327514,77.4375,0.7734548306465149,1.0363583087921142,0.007010719242199742
63,74.9,1.0562674245834351,75.9375,0.769778175354004,1.0438621425628662,0.006735017867588622
64,74.4625,1.0554521708488465,78.3125,0.7012561893463135,0.9966221857070923,0.006458204918298888
65,75.6375,1.0405434126853943,75.625,0.7844569611549378,1.05458487033844,0.006180837858771416
66,75.475,1.0503304176330566,74.8125,0.7404365706443786,1.0272083735466004,0.0059034752693513555
67,76.0375,1.0344656591415404,77.3125,0.7334883546829224,1.0150478887557983,0.005626675721381655
68,75.7375,1.0442696743011475,77.5625,0.7210688400268555,0.9999727058410645,0.005350996652314717
69,76.3375,1.0325243058204652,79.0,0.6994223117828369,0.9803396058082581,0.005076993243107544
70,76.375,1.0281152930259705,76.25,0.7579685807228088,1.0453898000717163,0.004805217300161188
71,75.925,1.0365223045349121,76.75,0.7247312259674072,1.0038440704345704,0.004536216144056081
72,76.6125,1.0267194046974182,77.4375,0.7243103098869323,1.0003761768341064,0.004270531507321245
73,76.175,1.0260976819992065,75.5625,0.7381557369232178,1.0120899152755738,0.004008698443457049
74,76.1625,1.027163872718811,79.0625,0.7088194894790649,0.9867453098297119,0.0037512442494086807
75,76.9625,1.015647187232971,78.0625,0.6710811924934387,0.9682599186897278,0.0034986874036602783
76,77.2875,1.0172813696861267,78.625,0.702317225933075,0.9785815572738648,0.0032515365220882435
77,77.4625,1.0087094507217407,78.875,0.6827023816108704,0.9662753677368164,0.0030102893336765814
78,77.2625,1.0126814312934875,80.0,0.6736388492584229,0.9612791872024536,0.0027754316781569335
79,77.675,1.0072435097694397,79.4375,0.6886358451843262,0.969102258682251,0.002547436527592052
80,77.9,0.9985678596496582,79.125,0.6885671043395996,0.9734777116775513,0.00232676303387297
81,78.425,0.9930804781913757,79.75,0.6724300551414489,0.9612640953063964,0.002113855604048239
82,78.4875,0.990318238735199,79.9375,0.6509460663795471,0.9505189275741577,0.0019091430053472366
83,77.8875,0.9933163132667542,78.5,0.6822943305969238,0.97601407289505,0.001713037501700064
84,77.9125,0.9950640172958374,80.1875,0.664878249168396,0.9601103305816651,0.001525934023492823
85,78.675,0.9843274445533753,80.3125,0.6581229448318482,0.9497094869613647,0.0013482093722304053
86,78.5875,0.9796199073791504,79.875,0.6594164729118347,0.9515485405921936,0.0011802214617083894
87,79.35,0.9723756051063538,80.125,0.6392797803878785,0.9403301334381103,0.0010223085972222888
88,79.3,0.9707827906608582,80.4375,0.6464854145050049,0.9459779858589172,0.0008747887942657259
89,79.2875,0.9677499213218689,80.0625,0.63087397813797,0.9306121063232422,0.0007379591380895263
90,79.8,0.9624379606246948,80.25,0.6321379399299621,0.934564356803894,0.0006120951854115841
91,79.9625,0.9591440830230713,80.1875,0.6321899151802063,0.9354568028450012,0.0004974504094822803
92,80.0,0.9533531045913697,80.625,0.624428300857544,0.9280880284309387,0.00039425568962311484
93,79.9375,0.9504698815345765,80.6875,0.6141792201995849,0.9222559237480163,0.0003027188462664542
94,80.325,0.9485063791275025,81.0,0.6105388879776001,0.9184005260467529,0.00022302422243285908
95,80.675,0.9440519418716431,80.875,0.6144493699073792,0.920306739807129,0.0001553323124887561
96,80.6125,0.9427347431182861,80.875,0.6104177165031434,0.9163271808624267,9.97794389321592e-05
97,80.5625,0.940336256980896,81.0625,0.608154923915863,0.9161458683013916,5.647747785728726e-05
98,80.9,0.9378294997215271,81.0,0.6085695862770081,0.9157718873023987,2.5513633651005226e-05
99,81.0625,0.9366313638687134,80.875,0.6085748839378357,0.9157549095153809,6.9502633747963335e-06
100,80.825,0.9370650067329407,80.875,0.6086091828346253,0.9157643556594849,8.247511859338899e-07
