epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,38.275,1.7227110891342163,67.0625,1.0812832593917847,1.2506624221801759,0.0008559807963694679
2,70.55,1.1549207644462585,75.5,0.8078951287269592,1.0536023902893066,0.000950518338388686
3,74.7125,1.0706285672187805,73.75,0.8022975564002991,1.0686294746398926,0.0011069290136592816
4,74.85,1.0583647599220276,76.6875,0.7300045800209045,1.0027139043807984,0.0013234982406060743
5,75.8875,1.0431794834136963,75.25,0.7414970922470093,1.0264469718933105,0.0015978519766285167
6,75.4,1.0456957840919494,77.5,0.6960902309417725,0.9829212355613709,0.0019269827424733474
7,76.075,1.0375487518310547,76.875,0.7366112685203552,1.0065301275253296,0.002307282590371244
8,76.0375,1.0372312216758728,77.4375,0.6990478491783142,0.9842289972305298,0.002734582654539101
9,75.9,1.038988036632538,77.0625,0.7069554615020752,0.9891916728019714,0.003204198850493386
10,75.725,1.0459533672332764,77.125,0.7093546509742736,1.0048768043518066,0.0037109832222164286
11,75.125,1.042096061706543,77.1875,0.7314344096183777,1.0034179663658143,0.00424938037430545
12,75.325,1.0531089935302735,75.3125,0.7884187984466553,1.0583167958259583,0.004813488370492346
13,75.1625,1.0561048078536988,78.5625,0.7332400822639465,0.9989550876617431,0.005397123430961584
14,74.6375,1.0632076482772828,76.8125,0.7262619638442993,1.0057497358322143,0.005993887719251072
15,75.4375,1.0543666701316834,77.75,0.7330279636383057,1.0053967905044556,0.0065972394756525655
16,75.0,1.0640038647651673,73.625,0.7963703465461731,1.063710572719574,0.007200564728305859
17,75.025,1.0544242749214172,75.25,0.7564373135566711,1.0380288982391357,0.007797249795886141
18,74.8625,1.0664993262290954,76.375,0.7487375092506409,1.0188832521438598,0.008380753787106513
19,74.9,1.0576267285346985,74.375,0.7730023717880249,1.0445830917358399,0.008944680302292486
20,74.1875,1.0766472544670105,77.375,0.7171398782730103,0.9990252065658569,0.009482847551032254
21,74.3375,1.071586420059204,73.5625,0.7619644451141357,1.0501815342903138,0.00998935611726962
22,73.9875,1.0776667675971985,76.8125,0.7569712710380554,1.035411341190338,0.010458653628995217
23,74.3,1.074302490234375,72.875,0.824863166809082,1.082204933166504,0.010885595623623678
24,74.15,1.073079852104187,76.125,0.7868819856643676,1.0540366125106813,0.011265501941847516
25,74.5,1.0748806447982788,74.75,0.7745796751976013,1.0462793350219726,0.011594208031775416
26,74.4,1.0747183570861816,76.125,0.734305157661438,1.0093534636497496,0.011868110600956504
27,74.15,1.075579110145569,75.5625,0.761018877029419,1.0414589309692384,0.012084207115850804
28,74.3375,1.0822097759246827,74.625,0.7978671002388,1.0498919916152953,0.012240128715750713
29,74.1125,1.0809909925460814,74.8125,0.8081184983253479,1.074724678993225,0.012334166180349512
30,73.875,1.0817591156959534,75.25,0.7544528198242187,1.0220740413665772,0.01236529029387502
31,74.4,1.0711511240005493,74.125,0.7815453863143921,1.0501477479934693,0.012358965612010187
32,73.65,1.0833257212638856,77.25,0.7425754475593567,1.0124440813064575,0.012340203473159228
33,73.8,1.0806513166427612,75.125,0.7847555994987487,1.0471669387817384,0.012309041661772876
34,75.1,1.0694127511978149,76.0625,0.7397694659233093,1.0170977568626405,0.012265542933592164
35,74.0625,1.073128526687622,72.375,0.8177436470985413,1.0920240712165832,0.012209794889266726
36,74.4375,1.0719879131317138,75.625,0.7754119157791137,1.0513436365127564,0.012141909797938737
37,74.6875,1.069820882320404,74.875,0.7606317353248596,1.044570541381836,0.012062024371147803
38,73.725,1.0864318614006043,77.4375,0.7625538563728332,1.03737717628479,0.011970299487512121
39,74.2,1.0761183648109436,77.625,0.7149446392059327,0.9841942453384399,0.01186691986874034
40,73.9,1.0823251667022704,73.6875,0.7982132291793823,1.0517571783065796,0.01175209370762664
41,74.6125,1.0740492434501647,76.125,0.7530232429504394,1.026077651977539,0.011626052248778135
42,74.5875,1.0721614561080932,72.875,0.8051066064834594,1.0665744590759276,0.011489049322919014
43,74.225,1.0698722529411315,74.875,0.7703080821037293,1.052834029197693,0.011341360835709254
44,74.5875,1.074036733150482,77.0,0.7351052498817444,1.0193727278709412,0.011183284212107318
45,74.3625,1.0737695212364198,73.9375,0.781554925441742,1.0521153020858764,0.011015137797395887
46,74.25,1.0702623105049134,76.625,0.7591659760475159,1.0335675811767577,0.010837260216076826
47,74.375,1.0711422348022461,75.0,0.7783468461036682,1.045434455871582,0.010650009689926496
48,74.225,1.0783943190574645,76.5625,0.7341457986831665,0.999994523525238,0.010453763316584768
49,75.4875,1.0614649271965027,76.625,0.7650692915916443,1.0239004898071289,0.010248916310130573
50,73.975,1.0746867599487304,75.9375,0.772611870765686,1.041614351272583,0.010035881205173328
51,74.55,1.068061071395874,76.0625,0.7544838547706604,1.0306556510925293,0.009815087026063145
52,74.6125,1.0665039081573486,74.8125,0.7447662448883057,1.0250665616989136,0.009586978422892883
53,74.75,1.062813618659973,77.3125,0.7486433339118957,1.0052568912506104,0.009352014776032038
54,75.0625,1.0607418932914734,75.75,0.7306012225151062,1.0086968874931335,0.0091106692709958
55,73.825,1.0815862913131713,75.375,0.7725164198875427,1.0483661842346192,0.008863427945512424
56,74.7625,1.0629113960266112,76.9375,0.7465392899513245,1.0190017056465148,0.008610788710707905
57,75.125,1.0613544640541077,77.1875,0.72419273853302,1.0064035081863403,0.008353260348379249
58,74.9875,1.0604185390472411,74.9375,0.7815372180938721,1.057423129081726,0.008091361486375629
59,75.1,1.058131079673767,73.125,0.7771061158180237,1.0485839033126831,0.007825619554150934
60,75.1,1.057496332168579,76.9375,0.7277382922172546,1.0053200340270996,0.007556569720591031
61,75.6875,1.0514972262382507,77.875,0.7238339686393738,0.9995662593841552,0.007284753816254848
62,74.8125,1.060466682434082,78.0,0.7204780292510986,1.0038208723068238,0.007010719242199742
63,75.5,1.0508801975250244,76.8125,0.7524835443496705,1.0238316774368286,0.006735017867588622
64,75.775,1.0478275055885315,77.1875,0.7335741114616394,1.0119923257827759,0.006458204918298888
65,75.975,1.0494460825920104,77.4375,0.7099545693397522,0.9852462697029114,0.006180837858771416
66,76.0375,1.0466005473136901,76.625,0.7250888109207153,1.0042801642417907,0.0059034752693513555
67,75.9,1.0451317896842958,76.9375,0.714987416267395,1.0053341865539551,0.005626675721381655
68,76.1125,1.0329701867103576,77.5625,0.7318898940086365,1.0048795080184936,0.005350996652314717
69,76.275,1.034318675994873,77.8125,0.6989322876930237,0.986981999874115,0.005076993243107544
70,76.3125,1.0236453213691712,75.75,0.727433955669403,1.0085712575912475,0.004805217300161188
71,76.225,1.0412726440429687,77.5,0.6978681921958924,0.9913713502883911,0.004536216144056081
72,76.5125,1.0319353160858153,77.625,0.6849235963821411,0.9701296710968017,0.004270531507321245
73,76.25,1.0232946310043336,78.0,0.7201288270950318,1.000717134475708,0.004008698443457049
74,76.5,1.028725076675415,77.875,0.7232169771194458,0.9952103042602539,0.0037512442494086807
75,76.4625,1.017056718826294,79.375,0.6811150789260865,0.9657869577407837,0.0034986874036602783
76,77.0875,1.0170604271888732,77.8125,0.6925272393226624,0.9770788478851319,0.0032515365220882435
77,77.625,1.0120039930343627,77.4375,0.6950369215011597,0.983204083442688,0.0030102893336765814
78,78.1125,1.0020732078552246,78.25,0.6783824181556701,0.9761944150924683,0.0027754316781569335
79,77.3375,1.0092029719352722,76.875,0.6993601703643799,0.9882377672195435,0.002547436527592052
80,77.775,1.0045603756904602,78.1875,0.6742798709869384,0.9663233160972595,0.00232676303387297
81,78.05,0.9975787472724914,79.5625,0.655100588798523,0.9489384365081787,0.002113855604048239
82,77.825,0.9929545602798462,79.1875,0.6586801958084106,0.9569293856620789,0.0019091430053472366
83,78.225,0.9886734457015991,80.25,0.6485536026954651,0.9364935708045959,0.001713037501700064
84,78.525,0.9871755094528198,80.0625,0.662046959400177,0.960270926952362,0.001525934023492823
85,78.8875,0.9846731810569763,80.875,0.6451522278785705,0.9362197375297546,0.0013482093722304053
86,78.9,0.9797980427742005,79.625,0.6398371195793152,0.9335923886299133,0.0011802214617083894
87,79.4375,0.9762835011482239,80.25,0.6449845957756043,0.9386501955986023,0.0010223085972222888
88,78.85,0.9705257687568665,80.9375,0.6319767284393311,0.9265932989120483,0.0008747887942657259
89,79.8625,0.9652142381668091,80.5,0.6218185830116272,0.9254446101188659,0.0007379591380895263
90,80.025,0.9604533977508545,81.375,0.6144611597061157,0.9151554203033447,0.0006120951854115841
91,80.3875,0.9564187135696411,80.4375,0.6108199954032898,0.9166803932189942,0.0004974504094822803
92,80.75,0.9499250230789185,81.625,0.6092997431755066,0.9141811537742615,0.00039425568962311484
93,79.975,0.9494504923820496,80.875,0.6050140404701233,0.9129083466529846,0.0003027188462664542
94,80.8875,0.9475593490600586,82.0625,0.6059733319282532,0.9115727257728576,0.00022302422243285908
95,80.65,0.9417022013664246,82.1875,0.5990553617477417,0.9065032505989075,0.0001553323124887561
96,80.9375,0.939648585319519,81.75,0.5961262965202332,0.9049990320205689,9.97794389321592e-05
97,80.7625,0.9392913074493409,81.8125,0.5958545565605163,0.9038817834854126,5.647747785728726e-05
98,80.95,0.9375800228118897,81.9375,0.5953862142562866,0.9035513281822205,2.5513633651005226e-05
99,81.275,0.936960991859436,82.0625,0.5951578569412231,0.9033596158027649,6.9502633747963335e-06
100,81.5875,0.9361276822090149,82.0,0.5950582218170166,0.9033763146400452,8.247511859338899e-07
