epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,65.25,1.2858629579544067,80.1875,0.6985543012619019,0.9458839845657349,0.00032100919397263974
2,82.6875,0.8847251329421997,83.625,0.5693679833412171,0.8703642225265503,0.0003564535203435743
3,84.8,0.8433172965049743,85.125,0.5393958401679992,0.8441197681427002,0.00041509564056431327
4,85.8125,0.8218236892223358,84.8125,0.5301376819610596,0.8418182206153869,0.0004962928880843766
5,85.8625,0.816148499250412,85.3125,0.5368989205360413,0.8510529708862304,0.0005991554118073882
6,86.3,0.8072021195888519,84.875,0.5249708580970764,0.8356393623352051,0.0007225559280838829
7,86.1625,0.8064906904697419,85.0,0.5185103917121887,0.8398030662536621,0.0008651420747580532
8,86.225,0.8066475646495819,85.0,0.5256078147888184,0.8454593944549561,0.0010253512318788376
9,86.425,0.8079824759960175,85.3125,0.5279931044578552,0.8359207820892334,0.0012014276466532849
10,86.025,0.8109056160449982,83.75,0.5524378418922424,0.869500949382782,0.0013914416749676055
11,86.1875,0.8075764226913452,85.3125,0.5107246446609497,0.82496572971344,0.0015933109286056161
12,86.6375,0.8057087483406067,85.9375,0.5247215890884399,0.8324527072906495,0.00180482309640948
13,85.9875,0.8095703213214874,86.4375,0.5084112453460693,0.823013801574707,0.002023660189282699
14,86.2875,0.8078981885910034,86.0,0.5408734774589539,0.8387992858886719,0.002247423943331256
15,86.175,0.8074687492847442,86.5625,0.5261212253570556,0.8250289869308471,0.0024736621027466018
16,86.2625,0.8047014319896698,85.0,0.5412514591217041,0.8413147687911987,0.0026998952943929904
17,86.55,0.8055051031112671,85.0625,0.5306572031974792,0.8573991179466247,0.0029236441995770957
18,86.425,0.8067511820793152,84.8125,0.539211676120758,0.8428698825836182,0.0031424567252209866
19,86.4625,0.808487598657608,84.0625,0.5937729525566101,0.8801208019256592,0.0033539348766660785
20,86.4875,0.8061013109683991,86.25,0.5142774748802185,0.8296624755859375,0.0035557610376055304
21,86.0875,0.8136390390396118,85.125,0.5384513926506043,0.8448683500289917,0.0037457233691399403
22,86.3875,0.8044312241077423,83.8125,0.5579862642288208,0.8565610694885254,0.003921740049604797
23,86.225,0.8093130507469177,84.25,0.5640629196166992,0.856810474395752,0.004081882089522305
24,86.175,0.8104168908596039,84.25,0.5620311427116395,0.8599798035621643,0.004224394471645591
25,86.15,0.807011248588562,84.5625,0.5279572010040283,0.8433639574050903,0.0043477153844188095
26,86.4,0.8080567314624786,84.4375,0.5311166214942932,0.8488092422485352,0.004450493338071202
27,86.475,0.8044917440414429,84.5,0.5371877646446228,0.8472021818161011,0.004531601975767601
28,86.375,0.8089577107429504,85.75,0.517455518245697,0.8272307491302491,0.004590152417498105
29,86.6875,0.8024750480651855,86.75,0.5023485493659973,0.8179225134849548,0.004625503001428618
30,86.2,0.8087222800254822,85.375,0.5575213646888733,0.8516060972213745,0.00463726646849945
31,86.4875,0.8038152937889099,84.875,0.529170298576355,0.8403261995315552,0.004634913241488591
32,86.3625,0.8045827388763428,86.0,0.5336567163467407,0.841291651725769,0.004627895646131992
33,85.95,0.8095660440921784,84.9375,0.5373655319213867,0.8395481729507446,0.004616227814932779
34,86.5625,0.8041852443218231,84.75,0.5390119338035584,0.8533822584152222,0.004599933245350204
35,86.05,0.8082801499366761,84.9375,0.5311140179634094,0.8392323541641236,0.00457904475247888
36,86.3375,0.8053226089477539,86.1875,0.5149244523048401,0.8263406085968018,0.004553604402963557
37,86.8125,0.802820481300354,83.375,0.5774353313446045,0.8715134000778199,0.004523663430282488
38,86.475,0.8015215847492217,83.875,0.5446021747589112,0.8620645046234131,0.004489282131570031
39,86.575,0.8035742356777191,85.3125,0.5362063646316528,0.8457300758361816,0.004450529746186238
40,87.0,0.8026837120056153,84.125,0.5538336086273193,0.8682340574264527,0.004407484316278003
41,86.3875,0.803556265115738,85.0,0.518083369731903,0.8342149424552917,0.004360232529612561
42,86.3375,0.8057636384963989,84.3125,0.5719698357582093,0.8682725429534912,0.004308869544999867
43,86.6,0.8012232182025909,85.0625,0.5337226724624634,0.8451371669769288,0.004253498800655407
44,86.475,0.8023581097126007,86.1875,0.5151865673065186,0.8326675701141357,0.004194231805889409
45,86.475,0.8047016565799713,84.9375,0.5219245624542236,0.8389171171188354,0.004131187916541922
46,86.35,0.8045901598930358,85.875,0.5206783986091614,0.8344900846481323,0.004064494094616047
47,87.025,0.7974107522964478,86.25,0.5144951629638672,0.8217235207557678,0.0039942846525933525
48,86.8375,0.7966186318397522,86.4375,0.5023408222198487,0.8100102591514587,0.003920700982946415
49,86.8125,0.7982477135658265,85.3125,0.5425944113731385,0.8484263992309571,0.003843891273393197
50,86.8375,0.7980660696029663,86.25,0.49960885286331175,0.8159793186187744,0.003764010208466698
51,86.825,0.798574266910553,86.75,0.5062593269348145,0.8176627111434936,0.0036812186580008994
52,87.1,0.7937992942333222,85.6875,0.4968415379524231,0.8215468502044678,0.0035956833531603214
53,87.175,0.7954311594963074,84.8125,0.5447518634796142,0.8513993549346924,0.00350757655066565
54,87.1375,0.7941360063552857,86.375,0.5174940943717956,0.827591290473938,0.0034170756858916246
55,86.9125,0.7947562203407288,85.5625,0.5626238703727722,0.8522958898544312,0.003324363015535807
56,86.9375,0.7963950152397156,87.0,0.48213579654693606,0.8100597381591796,0.003229625250577848
57,87.3625,0.7958269016742706,85.875,0.5220888686180115,0.8313449335098266,0.0031330531802684215
58,87.05,0.7913451766967774,85.625,0.5234675192832947,0.8238092350959778,0.0030348412879050665
59,87.1375,0.7906997139453888,85.375,0.509261953830719,0.8289536094665527,0.0029351873591687053
60,87.2125,0.7875147759914398,86.0625,0.5132345390319825,0.8255244874954224,0.0028342920838096064
61,87.025,0.7884782888889312,85.125,0.5166545248031617,0.8346398353576661,0.0027323586514849335
62,87.4875,0.7873748791217804,85.625,0.5162628293037415,0.8304506540298462,0.0026295923425618205
63,87.575,0.7857317938804627,86.0625,0.4953714656829834,0.8204439377784729,0.002526200114710028
64,87.775,0.7853367276191712,86.9375,0.5069272637367248,0.8190625524520874,0.002422390186116739
65,87.5,0.7856749114990235,86.5,0.5037262535095215,0.8113461303710937,0.0023183716161628435
66,87.4625,0.7818929078578949,86.5625,0.49252943277359007,0.8157937669754028,0.0022143538844051633
67,87.25,0.7842327673435211,86.8125,0.47419376015663145,0.792316472530365,0.0021105464687125037
68,87.7625,0.7784963374137879,86.1875,0.4944032418727875,0.8152968168258667,0.0020071584234051085
