epoch,train_accuracy,train_objective_loss,validation_accuracy,validation_cross_entropy,validation_objective_loss,learning_rate
1,65.5625,1.2649336454868316,83.0625,0.6634508728981018,0.9221376061439515,0.00032100919397263974
2,83.875,0.8720395250320434,86.375,0.5566036891937256,0.8528326272964477,0.0003564535203435743
3,85.3625,0.8372250366210937,86.1875,0.5179396367073059,0.830083875656128,0.00041509564056431327
4,86.0375,0.8259100239276886,86.1875,0.5225451683998108,0.8301745223999023,0.0004962928880843766
5,86.225,0.8152460238933563,85.4375,0.5210879874229432,0.8328243064880371,0.0005991554118073882
6,86.325,0.8160281975269318,86.5625,0.5006327903270722,0.8161552429199219,0.0007225559280838829
7,86.225,0.8116391925811768,86.75,0.5026855981349945,0.8136201643943787,0.0008651420747580532
8,86.5125,0.8088118889331818,85.375,0.5361422538757324,0.839450147151947,0.0010253512318788376
9,85.9,0.8132385218143463,86.9375,0.5252395272254944,0.8298925638198853,0.0012014276466532849
10,86.2375,0.8102859864234925,86.5625,0.5086200332641602,0.819912919998169,0.0013914416749676055
11,86.6125,0.8073538708686828,87.125,0.48037015438079833,0.8106626033782959,0.0015933109286056161
12,86.0625,0.8101491878032684,87.4375,0.4986544942855835,0.8179384136199951,0.00180482309640948
13,86.5875,0.8081513485908508,87.375,0.49823095083236696,0.8097815418243408,0.002023660189282699
14,86.6,0.8038143520355224,87.3125,0.5068048620223999,0.8261108684539795,0.002247423943331256
15,86.175,0.8132675004005432,86.4375,0.5184060406684875,0.8217533564567566,0.0024736621027466018
16,86.65,0.8075703983306884,86.125,0.5030307078361511,0.8310670185089112,0.0026998952943929904
17,86.3875,0.8081633820533752,86.25,0.5233982515335083,0.8304941082000732,0.0029236441995770957
18,86.625,0.8091684300899505,86.375,0.4993764615058899,0.814191255569458,0.0031424567252209866
19,86.2125,0.8156163890361786,86.8125,0.5104880952835082,0.811788625717163,0.0033539348766660785
20,86.6375,0.8116181802749634,86.4375,0.5183798384666443,0.8373574781417846,0.0035557610376055304
21,85.95,0.8145579011440277,86.9375,0.5068292164802551,0.8102443408966065,0.0037457233691399403
22,86.2125,0.8104345998764038,85.75,0.5334839391708374,0.8375564765930176,0.003921740049604797
23,86.9125,0.8039946870803834,86.4375,0.5052301216125489,0.8207177376747131,0.004081882089522305
24,86.2625,0.8111643691062927,87.5625,0.5111243438720703,0.8198467683792114,0.004224394471645591
25,86.3875,0.8105601389408111,86.5,0.5019146561622619,0.8253904342651367,0.0043477153844188095
26,86.6125,0.807381462097168,86.3125,0.5184534931182861,0.8264411401748657,0.004450493338071202
27,86.15,0.8103415532112122,85.0625,0.5394374895095825,0.8460746169090271,0.004531601975767601
28,86.6125,0.8077090277671813,85.25,0.532764196395874,0.8379652214050293,0.004590152417498105
29,86.575,0.801034462928772,86.5625,0.5017323589324951,0.8194319486618042,0.004625503001428618
30,86.7,0.8017454555034638,86.9375,0.5117640376091004,0.8225477123260498,0.00463726646849945
31,86.85,0.8057179682254791,86.625,0.48668787240982053,0.8198644351959229,0.004634913241488591
32,86.4,0.8088057966232299,86.9375,0.487204909324646,0.8029644703865051,0.004627895646131992
33,86.7375,0.7989830543994904,87.0,0.5213551425933838,0.8245953607559204,0.004616227814932779
34,86.8375,0.8040466947555542,83.5625,0.5816393208503723,0.8832385587692261,0.004599933245350204
35,86.675,0.8036040494441986,86.5625,0.502923138141632,0.8184716439247132,0.00457904475247888
36,87.0875,0.7984975290298462,85.5625,0.5316039085388183,0.841092791557312,0.004553604402963557
37,87.1125,0.8011041619777679,85.5,0.5203776788711548,0.827745053768158,0.004523663430282488
38,87.025,0.7979431488513946,86.4375,0.4871756863594055,0.8094678235054016,0.004489282131570031
39,86.3625,0.8045698051452637,86.3125,0.5007042217254639,0.8218502759933471,0.004450529746186238
40,86.6125,0.8035985550880432,87.6875,0.4976653552055359,0.8101184225082397,0.004407484316278003
41,86.575,0.799669994354248,84.9375,0.5243003678321838,0.8296500873565674,0.004360232529612561
42,86.575,0.8047300028800964,86.5,0.5142941188812256,0.8280183529853821,0.004308869544999867
43,87.1125,0.7944205694198608,86.625,0.5090452313423157,0.8277632975578308,0.004253498800655407
44,87.0375,0.7953392200469971,85.4375,0.5380315780639648,0.8387632274627685,0.004194231805889409
45,87.0,0.794346741437912,86.5625,0.4884293746948242,0.8112305068969726,0.004131187916541922
