number,state,value,param_optimizer,param_scheduler,param_learning_rate,param_depth,param_degree,param_weight_decay,param_batch_size,param_label_smoothing,param_entropy_weight,validation_accuracy_by_seed,parameter_count
0,COMPLETE,70.625,adamw,onecycle,0.0043149464788267596,1,1,2.470806285151418e-06,32,0.1,0.0003,"[70.625, 70.625]",249
1,COMPLETE,48.375,adamw,onecycle,0.00027826035127064593,1,2,1.6472003195269225e-05,32,0.05,0.0,"[51.1875, 45.5625]",249
2,COMPLETE,71.90625,rmsprop,onecycle,0.0005006068902684146,1,3,7.406230723463668e-05,32,0.1,0.0,"[72.6875, 71.125]",249
3,COMPLETE,31.96875,adamw,none,0.0001325910795710894,2,1,3.676653257095683e-07,32,0.0,0.003,"[35.8125, 28.125]",409
4,COMPLETE,75.5,rmsprop,onecycle,0.005098238201912792,2,2,1.6780795837352869e-06,64,0.05,0.001,"[75.6875, 75.3125]",409
5,COMPLETE,74.21875,rmsprop,cosine,0.01960590845457971,2,3,0.0019573767985840663,64,0.02,0.001,"[73.4375, 75.0]",409
6,COMPLETE,70.75,rmsprop,none,0.0021195235017222812,2,2,1.9724701293518442e-07,64,0.05,0.001,"[69.1875, 72.3125]",409
7,COMPLETE,73.3125,rmsprop,cosine,0.007610367779099248,2,2,0.001205776139005911,64,0.05,0.0001,"[73.125, 73.5]",409
8,COMPLETE,73.78125,rmsprop,onecycle,0.001400809286983696,2,2,8.990116050258578e-05,64,0.0,0.001,"[73.8125, 73.75]",409
9,COMPLETE,74.4375,rmsprop,onecycle,0.018999589590512365,2,2,2.3437882368559535e-06,64,0.02,0.003,"[74.8125, 74.0625]",409
10,COMPLETE,43.40625,adamw,cosine,7.27519570847333e-05,1,1,0.0001879915922154887,64,0.05,0.0001,"[41.0625, 45.75]",249
11,COMPLETE,75.5,rmsprop,onecycle,0.01701501201599602,2,2,1.4460360483797832e-06,64,0.02,0.003,"[75.8125, 75.1875]",409
12,COMPLETE,75.3125,rmsprop,onecycle,0.007108223596948183,2,2,1.153834056327852e-06,64,0.02,0.003,"[75.0625, 75.5625]",409
13,COMPLETE,74.625,rmsprop,onecycle,0.009797257761393495,2,2,1.060291882104722e-05,64,0.02,0.0003,"[74.3125, 74.9375]",409
14,COMPLETE,75.25,rmsprop,onecycle,0.003222708456200772,2,2,5.595193845952496e-07,64,0.05,0.003,"[75.125, 75.375]",409
15,COMPLETE,75.40625,rmsprop,none,0.010514264347723413,2,3,7.635979499959263e-06,64,0.02,0.001,"[74.0, 76.8125]",409
16,COMPLETE,74.25,rmsprop,onecycle,0.0010568006601708595,2,2,1.620526713627621e-07,64,0.1,0.003,"[74.125, 74.375]",409
17,COMPLETE,75.34375,rmsprop,onecycle,0.004373608779573631,2,2,4.33430918841684e-06,64,0.0,0.001,"[75.25, 75.4375]",409
18,COMPLETE,67.125,adamw,cosine,0.002238285121325451,1,1,2.603726747361956e-05,32,0.05,0.0003,"[67.1875, 67.0625]",249
19,COMPLETE,74.8125,rmsprop,none,0.011025015722958897,2,3,9.730541345050848e-07,64,0.02,0.0,"[73.8125, 75.8125]",409
20,COMPLETE,75.5625,rmsprop,onecycle,0.00546404509070335,2,2,1.9285689476747928e-06,64,0.02,0.0001,"[76.0, 75.125]",409
21,COMPLETE,75.53125,rmsprop,onecycle,0.005530013855744356,2,2,1.7102451571164808e-06,64,0.02,0.0001,"[76.0625, 75.0]",409
22,COMPLETE,75.5,rmsprop,onecycle,0.005161987239086926,2,2,5.7127287464952325e-06,64,0.02,0.0001,"[75.625, 75.375]",409
23,COMPLETE,75.28125,rmsprop,onecycle,0.003194201062051578,2,2,4.544145942036304e-07,64,0.02,0.0001,"[75.1875, 75.375]",409
24,COMPLETE,75.5625,rmsprop,onecycle,0.0060099162688233,2,2,3.3068484811644208e-06,64,0.02,0.0001,"[76.0625, 75.0625]",409
