number,state,value,param_optimizer,param_scheduler,param_learning_rate,param_depth,param_degree,param_weight_decay,param_batch_size,param_label_smoothing,param_entropy_weight,validation_accuracy_by_seed,parameter_count
0,COMPLETE,74.0625,adamw,onecycle,0.0043149464788267596,1,1,2.470806285151418e-06,32,0.1,0.0003,"[74.5625, 73.5625]",249
1,COMPLETE,47.65625,adamw,onecycle,0.00027826035127064593,1,2,1.6472003195269225e-05,32,0.05,0.0,"[44.25, 51.0625]",249
2,COMPLETE,75.84375,rmsprop,onecycle,0.0005006068902684146,1,3,7.406230723463668e-05,32,0.1,0.0,"[75.0, 76.6875]",249
3,COMPLETE,29.15625,adamw,none,0.0001325910795710894,2,1,3.676653257095683e-07,32,0.0,0.003,"[35.1875, 23.125]",409
4,COMPLETE,79.65625,rmsprop,onecycle,0.005098238201912792,2,2,1.6780795837352869e-06,64,0.05,0.001,"[78.6875, 80.625]",409
5,COMPLETE,78.4375,rmsprop,cosine,0.01960590845457971,2,3,0.0019573767985840663,64,0.02,0.001,"[77.25, 79.625]",409
6,COMPLETE,72.09375,rmsprop,none,0.0021195235017222812,2,2,1.9724701293518442e-07,64,0.05,0.001,"[71.3125, 72.875]",409
7,COMPLETE,75.90625,rmsprop,cosine,0.007610367779099248,2,2,0.001205776139005911,64,0.05,0.0001,"[77.25, 74.5625]",409
8,COMPLETE,78.0,rmsprop,onecycle,0.001400809286983696,2,2,8.990116050258578e-05,64,0.0,0.001,"[77.125, 78.875]",409
9,COMPLETE,80.28125,rmsprop,onecycle,0.018999589590512365,2,2,2.3437882368559535e-06,64,0.02,0.003,"[79.625, 80.9375]",409
10,COMPLETE,25.375,adamw,cosine,7.27519570847333e-05,1,1,7.967120140811745e-06,64,0.02,0.003,"[26.5625, 24.1875]",249
11,COMPLETE,80.34375,rmsprop,onecycle,0.01701501201599602,2,2,1.4460360483797832e-06,64,0.02,0.003,"[80.125, 80.5625]",409
12,COMPLETE,80.8125,rmsprop,onecycle,0.017098164282483435,2,2,1.0224717869790937e-06,64,0.02,0.003,"[81.75, 79.875]",409
13,COMPLETE,78.6875,rmsprop,onecycle,0.010367904657832739,2,2,7.194757158163457e-07,64,0.02,0.003,"[78.9375, 78.4375]",409
14,COMPLETE,80.375,rmsprop,onecycle,0.011154859245461968,2,2,1.3156081673222877e-07,64,0.02,0.003,"[80.0, 80.75]",409
15,COMPLETE,78.0,rmsprop,none,0.009170766809388328,2,3,1.2771371591749854e-07,64,0.02,0.0003,"[79.6875, 76.3125]",409
16,COMPLETE,80.40625,rmsprop,onecycle,0.0035892378464337793,2,2,3.590027293996938e-07,64,0.02,0.003,"[79.75, 81.0625]",409
17,COMPLETE,78.53125,rmsprop,onecycle,0.0018040655391141302,2,2,1.0707192121503633e-05,64,0.02,0.0001,"[77.5625, 79.5]",409
18,COMPLETE,64.3125,adamw,cosine,0.0008958092556742599,1,1,4.700231377999507e-07,32,0.0,0.003,"[64.9375, 63.6875]",249
19,COMPLETE,77.03125,rmsprop,none,0.0030497187460182536,2,3,5.1098681447629595e-06,64,0.1,0.003,"[76.9375, 77.125]",409
20,COMPLETE,79.65625,rmsprop,onecycle,0.00546404509070335,2,2,3.49113321944291e-05,64,0.02,0.0,"[79.3125, 80.0]",409
21,COMPLETE,80.09375,rmsprop,onecycle,0.011291233455431104,2,2,1.0562238391452966e-07,64,0.02,0.003,"[79.9375, 80.25]",409
22,COMPLETE,80.03125,rmsprop,onecycle,0.013482057725877681,2,2,3.3700297201026185e-07,64,0.02,0.003,"[79.5, 80.5625]",409
23,COMPLETE,79.4375,rmsprop,onecycle,0.007486011973317465,2,2,9.420585640859666e-07,64,0.02,0.003,"[79.875, 79.0]",409
24,COMPLETE,79.9375,rmsprop,onecycle,0.003364003742677737,2,2,2.4392698224528465e-07,64,0.02,0.003,"[79.1875, 80.6875]",409
25,COMPLETE,79.9375,rmsprop,onecycle,0.006632364123518786,2,2,7.444111278081186e-07,64,0.02,0.0003,"[80.6875, 79.1875]",409
26,COMPLETE,71.34375,adamw,onecycle,0.0033731981782449388,1,2,4.14199451313672e-06,32,0.02,0.0001,"[71.25, 71.4375]",249
