number,state,value,param_optimizer,param_scheduler,param_learning_rate,param_depth,param_degree,param_weight_decay,param_batch_size,param_label_smoothing,param_entropy_weight,validation_accuracy_by_seed,parameter_count
0,COMPLETE,82.1875,adamw,onecycle,0.0043149464788267596,1,1,2.470806285151418e-06,32,0.1,0.0003,"[82.25, 82.125]",249
1,COMPLETE,71.21875,adamw,onecycle,0.00027826035127064593,1,2,1.6472003195269225e-05,32,0.05,0.0,"[71.75, 70.6875]",249
2,COMPLETE,85.59375,rmsprop,onecycle,0.0005006068902684146,1,3,7.406230723463668e-05,32,0.1,0.0,"[85.75, 85.4375]",249
3,COMPLETE,29.21875,adamw,none,0.0001325910795710894,2,1,3.676653257095683e-07,32,0.0,0.003,"[34.625, 23.8125]",409
4,COMPLETE,87.1875,rmsprop,onecycle,0.005098238201912792,2,2,1.6780795837352869e-06,64,0.05,0.001,"[87.25, 87.125]",409
5,COMPLETE,86.40625,rmsprop,cosine,0.01960590845457971,2,3,0.0019573767985840663,64,0.02,0.001,"[86.375, 86.4375]",409
6,COMPLETE,81.78125,rmsprop,none,0.0021195235017222812,2,2,1.9724701293518442e-07,64,0.05,0.001,"[81.3125, 82.25]",409
7,COMPLETE,84.78125,rmsprop,cosine,0.007610367779099248,2,2,0.001205776139005911,64,0.05,0.0001,"[84.4375, 85.125]",409
8,COMPLETE,86.03125,rmsprop,onecycle,0.001400809286983696,2,2,8.990116050258578e-05,64,0.0,0.001,"[86.0625, 86.0]",409
9,COMPLETE,87.40625,rmsprop,onecycle,0.018999589590512365,2,2,2.3437882368559535e-06,64,0.02,0.003,"[87.5625, 87.25]",409
10,COMPLETE,31.875,adamw,cosine,7.27519570847333e-05,1,1,7.967120140811745e-06,64,0.02,0.003,"[31.4375, 32.3125]",249
11,COMPLETE,87.6875,rmsprop,onecycle,0.01701501201599602,2,2,1.4460360483797832e-06,64,0.02,0.003,"[87.9375, 87.4375]",409
12,COMPLETE,87.625,rmsprop,onecycle,0.017098164282483435,2,2,1.0224717869790937e-06,64,0.02,0.003,"[88.3125, 86.9375]",409
13,COMPLETE,87.21875,rmsprop,onecycle,0.010367904657832739,2,2,7.194757158163457e-07,64,0.02,0.003,"[86.6875, 87.75]",409
14,COMPLETE,87.28125,rmsprop,onecycle,0.011154859245461968,2,2,1.3156081673222877e-07,64,0.02,0.003,"[87.125, 87.4375]",409
15,COMPLETE,86.0625,rmsprop,none,0.019252585999120084,2,3,8.758066806411233e-06,64,0.02,0.0003,"[86.4375, 85.6875]",409
16,COMPLETE,88.40625,rmsprop,onecycle,0.0035892378464337793,2,2,7.692828888314846e-07,64,0.02,0.003,"[88.25, 88.5625]",409
17,COMPLETE,86.65625,rmsprop,onecycle,0.0018079519721674714,2,2,2.7667517969848776e-05,64,0.02,0.0001,"[86.0, 87.3125]",409
18,COMPLETE,73.09375,adamw,cosine,0.0009001988373314979,1,1,4.40808418868092e-07,32,0.0,0.003,"[72.9375, 73.25]",249
19,COMPLETE,85.09375,rmsprop,none,0.003058004086201262,2,3,4.636039468285031e-06,64,0.1,0.003,"[85.125, 85.0625]",409
20,COMPLETE,87.6875,rmsprop,onecycle,0.00546404509070335,2,2,0.00033767700465471074,64,0.02,0.0,"[87.0, 88.375]",409
21,COMPLETE,87.625,rmsprop,onecycle,0.005750469673093278,2,2,0.00026537593034670217,64,0.02,0.0,"[87.375, 87.875]",409
22,COMPLETE,87.3125,rmsprop,onecycle,0.0030472255782837895,2,2,0.0006086925219291524,64,0.02,0.0,"[87.5625, 87.0625]",409
23,COMPLETE,87.90625,rmsprop,onecycle,0.009656586146798344,2,2,3.779075205849003e-05,64,0.02,0.0,"[87.6875, 88.125]",409
24,COMPLETE,87.78125,rmsprop,onecycle,0.008965185006510699,2,2,5.902714138749279e-05,64,0.02,0.0001,"[88.125, 87.4375]",409
25,COMPLETE,87.59375,rmsprop,onecycle,0.009133656985714217,2,2,5.8913682433759964e-05,64,0.02,0.0001,"[87.5625, 87.625]",409
26,COMPLETE,82.71875,adamw,onecycle,0.002846302156502963,1,2,0.00015966886675252746,32,0.02,0.0001,"[82.25, 83.1875]",249
27,COMPLETE,87.59375,rmsprop,onecycle,0.007931506195238287,2,2,3.07915987273904e-05,64,0.1,0.0001,"[87.5625, 87.625]",409
28,COMPLETE,81.9375,rmsprop,none,0.01291010829804553,2,1,1.873699853641002e-05,64,0.0,0.0003,"[82.75, 81.125]",409
29,COMPLETE,84.84375,adamw,cosine,0.003418923542314189,1,3,4.64227118404458e-06,32,0.1,0.0003,"[84.75, 84.9375]",249
30,COMPLETE,84.9375,rmsprop,onecycle,0.006661783020115047,2,1,0.00019893227583010311,64,0.02,0.0001,"[83.875, 86.0]",409
31,COMPLETE,87.875,rmsprop,onecycle,0.013288083092033722,2,2,1.2417639627635702e-06,64,0.02,0.0,"[88.125, 87.625]",409
